D:\anaconda3\python.exe E:/zhangxirui/RAFT/train.py 
Namespace(name='raft-kitti', stage='kitti', restore_ckpt='checkpoints/raft-sintel.pth', small=False, validation=['kitti'], lr=0.0001, num_steps=120000, batch_size=8, image_size=[288, 960], gpus=[0], mixed_precision=True, iters=12, wdecay=1e-05, epsilon=1e-08, clip=1.0, dropout=0.0, gamma=0.85, add_noise=False)
Parameter Count: 10584674
Training with 200 image pairs
D:\anaconda3\lib\site-packages\torch\functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ..\aten\src\ATen\native\TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[  8300,  0.0000980]     0.8567,     0.9619,     0.9803,     0.7372, 
[  8400,  0.0000979]     0.8597,     0.9623,     0.9805,     0.7176, 
[  8500,  0.0000978]     0.8557,     0.9617,     0.9801,     0.7505, 
[  8600,  0.0000977]     0.8582,     0.9626,     0.9807,     0.7266, 
[  8700,  0.0000976]     0.8615,     0.9628,     0.9807,     0.7157, 
[  8800,  0.0000976]     0.8600,     0.9625,     0.9808,     0.7233, 
[  8900,  0.0000975]     0.8591,     0.9620,     0.9804,     0.7236, 
[  9000,  0.0000974]     0.8627,     0.9633,     0.9811,     0.7091, 
[  9100,  0.0000973]     0.8580,     0.9617,     0.9802,     0.7181, 
[  9200,  0.0000972]     0.8629,     0.9633,     0.9810,     0.7072, 
[  9300,  0.0000971]     0.8618,     0.9635,     0.9814,     0.7051, 
[  9400,  0.0000970]     0.8621,     0.9642,     0.9820,     0.6996, 
[  9500,  0.0000969]     0.8620,     0.9640,     0.9820,     0.6988, 
[  9600,  0.0000968]     0.8611,     0.9640,     0.9821,     0.6962, 
[  9700,  0.0000968]     0.8638,     0.9642,     0.9818,     0.7007, 
[  9800,  0.0000967]     0.8632,     0.9651,     0.9824,     0.6875, 
[  9900,  0.0000966]     0.8663,     0.9653,     0.9823,     0.6796, 
[ 10000,  0.0000965]     0.8647,     0.9641,     0.9815,     0.6932, 
Validation KITTI: 0.882028, 2.678614
[ 10100,  0.0000964]     0.8641,     0.9647,     0.9823,     0.6834, 
[ 10200,  0.0000963]     0.8638,     0.9647,     0.9825,     0.6867, 
[ 10300,  0.0000962]     0.8624,     0.9636,     0.9817,     0.6933, 
[ 10400,  0.0000961]     0.8651,     0.9650,     0.9825,     0.6827, 
[ 10500,  0.0000961]     0.8690,     0.9656,     0.9822,     0.6743, 
[ 10600,  0.0000960]     0.8662,     0.9651,     0.9824,     0.6760, 
[ 10700,  0.0000959]     0.8665,     0.9648,     0.9823,     0.6711, 
[ 10800,  0.0000958]     0.8661,     0.9654,     0.9828,     0.6755, 
[ 10900,  0.0000957]     0.8673,     0.9649,     0.9822,     0.6709, 
[ 11000,  0.0000956]     0.8684,     0.9662,     0.9830,     0.6619, 
[ 11100,  0.0000955]     0.8667,     0.9650,     0.9820,     0.6834, 
[ 11200,  0.0000954]     0.8709,     0.9666,     0.9831,     0.6575, 
[ 11300,  0.0000954]     0.8664,     0.9653,     0.9827,     0.6731, 
[ 11400,  0.0000953]     0.8714,     0.9675,     0.9839,     0.6490, 
[ 11500,  0.0000952]     0.8690,     0.9667,     0.9835,     0.6583, 
[ 11600,  0.0000951]     0.8724,     0.9679,     0.9842,     0.6354, 
[ 11700,  0.0000950]     0.8711,     0.9672,     0.9836,     0.6538, 
[ 11800,  0.0000949]     0.8679,     0.9667,     0.9838,     0.6495, 
[ 11900,  0.0000948]     0.8726,     0.9679,     0.9842,     0.6405, 
[ 12000,  0.0000947]     0.8715,     0.9665,     0.9829,     0.6560, 
[ 12100,  0.0000947]     0.8716,     0.9676,     0.9841,     0.6481, 
[ 12200,  0.0000946]     0.8698,     0.9670,     0.9835,     0.6578, 
[ 12300,  0.0000945]     0.8714,     0.9668,     0.9833,     0.6531, 
[ 12400,  0.0000944]     0.8716,     0.9676,     0.9841,     0.6473, 
[ 12500,  0.0000943]     0.8735,     0.9676,     0.9837,     0.6392, 
Validation KITTI: 0.846305, 2.475263
[ 12600,  0.0000942]     0.8721,     0.9679,     0.9842,     0.6419, 
[ 12700,  0.0000941]     0.8751,     0.9681,     0.9841,     0.6310, 
[ 12800,  0.0000940]     0.8758,     0.9687,     0.9845,     0.6259, 
[ 12900,  0.0000940]     0.8740,     0.9685,     0.9841,     0.6381, 
[ 13000,  0.0000939]     0.8742,     0.9685,     0.9848,     0.6299, 
[ 13100,  0.0000938]     0.8735,     0.9679,     0.9842,     0.6382, 
[ 13200,  0.0000937]     0.8779,     0.9701,     0.9854,     0.6101, 
[ 13300,  0.0000936]     0.8772,     0.9691,     0.9846,     0.6299, 
[ 13400,  0.0000935]     0.8773,     0.9698,     0.9851,     0.6167, 
[ 13500,  0.0000934]     0.8773,     0.9695,     0.9851,     0.6174, 
